city,candidate_party,ticket,ticket_percentage
連江縣,民主進步黨,395,8.91
連江縣,親民黨,413,9.32
連江縣,自由台灣黨,9,0.2
連江縣,和平鴿聯盟黨,10,0.22
連江縣,軍公教聯盟黨,66,1.48
連江縣,民國黨,64,1.44
連江縣,信心希望聯盟,63,1.42
連江縣,中華統一促進黨,64,1.44
連江縣,中國國民黨,2509,56.63
連江縣,台灣團結聯盟,15,0.33
連江縣,時代力量,113,2.55
連江縣,大愛憲改聯盟,5,0.11
連江縣,綠黨社會民主黨聯盟,131,2.95
連江縣,台灣獨立黨,9,0.2
連江縣,無黨團結聯盟,12,0.27
連江縣,新黨,484,10.92
連江縣,健保免費連線,7,0.15
連江縣,樹黨,61,1.37
金門縣,民主進步黨,3946,10.9
金門縣,親民黨,2482,6.86
金門縣,自由台灣黨,98,0.27
金門縣,和平鴿聯盟黨,55,0.15
金門縣,軍公教聯盟黨,494,1.36
金門縣,民國黨,589,1.62
金門縣,信心希望聯盟,345,0.95
金門縣,中華統一促進黨,749,2.07
金門縣,中國國民黨,20142,55.67
金門縣,台灣團結聯盟,393,1.08
金門縣,時代力量,1008,2.78
金門縣,大愛憲改聯盟,47,0.12
金門縣,綠黨社會民主黨聯盟,1142,3.15
金門縣,台灣獨立黨,53,0.14
金門縣,無黨團結聯盟,184,0.5
金門縣,新黨,4064,11.23
金門縣,健保免費連線,138,0.38
金門縣,樹黨,250,0.69
宜蘭縣,民主進步黨,115242,50.01
宜蘭縣,親民黨,13936,6.04
宜蘭縣,自由台灣黨,881,0.38
宜蘭縣,和平鴿聯盟黨,764,0.33
宜蘭縣,軍公教聯盟黨,1778,0.77
宜蘭縣,民國黨,2717,1.17
宜蘭縣,信心希望聯盟,2619,1.13
宜蘭縣,中華統一促進黨,1041,0.45
宜蘭縣,中國國民黨,53256,23.11
宜蘭縣,台灣團結聯盟,6947,3.01
宜蘭縣,時代力量,13960,6.05
宜蘭縣,大愛憲改聯盟,379,0.16
宜蘭縣,綠黨社會民主黨聯盟,6002,2.6
宜蘭縣,台灣獨立黨,699,0.3
宜蘭縣,無黨團結聯盟,1773,0.76
宜蘭縣,新黨,6137,2.66
宜蘭縣,健保免費連線,955,0.41
宜蘭縣,樹黨,1340,0.58
新竹縣,民主進步黨,83376,31.49
新竹縣,親民黨,21675,8.18
新竹縣,自由台灣黨,1211,0.45
新竹縣,和平鴿聯盟黨,808,0.3
新竹縣,軍公教聯盟黨,1558,0.58
新竹縣,民國黨,21903,8.27
新竹縣,信心希望聯盟,4456,1.68
新竹縣,中華統一促進黨,1965,0.74
新竹縣,中國國民黨,87690,33.12
新竹縣,台灣團結聯盟,3723,1.4
新竹縣,時代力量,15547,5.87
新竹縣,大愛憲改聯盟,442,0.16
新竹縣,綠黨社會民主黨聯盟,6796,2.56
新竹縣,台灣獨立黨,660,0.24
新竹縣,無黨團結聯盟,1098,0.41
新竹縣,新黨,8227,3.1
新竹縣,健保免費連線,1392,0.52
新竹縣,樹黨,2176,0.82
苗栗縣,民主進步黨,97679,34.55
苗栗縣,親民黨,23229,8.21
苗栗縣,自由台灣黨,1203,0.42
苗栗縣,和平鴿聯盟黨,1476,0.52
苗栗縣,軍公教聯盟黨,1776,0.62
苗栗縣,民國黨,11042,3.9
苗栗縣,信心希望聯盟,2791,0.98
苗栗縣,中華統一促進黨,2698,0.95
苗栗縣,中國國民黨,100362,35.5
苗栗縣,台灣團結聯盟,4921,1.74
苗栗縣,時代力量,14653,5.18
苗栗縣,大愛憲改聯盟,458,0.16
苗栗縣,綠黨社會民主黨聯盟,5253,1.85
苗栗縣,台灣獨立黨,840,0.29
苗栗縣,無黨團結聯盟,2009,0.71
苗栗縣,新黨,9328,3.29
苗栗縣,健保免費連線,1455,0.51
苗栗縣,樹黨,1507,0.53
彰化縣,民主進步黨,289796,43.96
彰化縣,親民黨,47811,7.25
彰化縣,自由台灣黨,3273,0.49
彰化縣,和平鴿聯盟黨,2225,0.33
彰化縣,軍公教聯盟黨,5186,0.78
彰化縣,民國黨,10936,1.65
彰化縣,信心希望聯盟,6884,1.04
彰化縣,中華統一促進黨,2282,0.34
彰化縣,中國國民黨,185848,28.19
彰化縣,台灣團結聯盟,20770,3.15
彰化縣,時代力量,41762,6.33
彰化縣,大愛憲改聯盟,1201,0.18
彰化縣,綠黨社會民主黨聯盟,13034,1.97
彰化縣,台灣獨立黨,1909,0.28
彰化縣,無黨團結聯盟,3334,0.5
彰化縣,新黨,15346,2.32
彰化縣,健保免費連線,3663,0.55
彰化縣,樹黨,3937,0.59
南投縣,民主進步黨,101727,39.85
南投縣,親民黨,20374,7.98
南投縣,自由台灣黨,1152,0.45
南投縣,和平鴿聯盟黨,706,0.27
南投縣,軍公教聯盟黨,2317,0.9
南投縣,民國黨,5781,2.26
南投縣,信心希望聯盟,3430,1.34
南投縣,中華統一促進黨,1045,0.4
南投縣,中國國民黨,77449,30.34
南投縣,台灣團結聯盟,8011,3.13
南投縣,時代力量,13759,5.39
南投縣,大愛憲改聯盟,432,0.16
南投縣,綠黨社會民主黨聯盟,5237,2.05
南投縣,台灣獨立黨,928,0.36
南投縣,無黨團結聯盟,1192,0.46
南投縣,新黨,8498,3.32
南投縣,健保免費連線,1587,0.62
南投縣,樹黨,1638,0.64
雲林縣,民主進步黨,169073,49.76
雲林縣,親民黨,17117,5.03
雲林縣,自由台灣黨,1465,0.43
雲林縣,和平鴿聯盟黨,1686,0.49
雲林縣,軍公教聯盟黨,2516,0.74
雲林縣,民國黨,3803,1.11
雲林縣,信心希望聯盟,2584,0.76
雲林縣,中華統一促進黨,1268,0.37
雲林縣,中國國民黨,83484,24.57
雲林縣,台灣團結聯盟,14383,4.23
雲林縣,時代力量,18132,5.33
雲林縣,大愛憲改聯盟,486,0.14
雲林縣,綠黨社會民主黨聯盟,5279,1.55
雲林縣,台灣獨立黨,1067,0.31
雲林縣,無黨團結聯盟,6699,1.97
雲林縣,新黨,6727,1.98
雲林縣,健保免費連線,1687,0.49
雲林縣,樹黨,2289,0.67
嘉義縣,民主進步黨,143239,52.2
嘉義縣,親民黨,14708,5.36
嘉義縣,自由台灣黨,1908,0.69
嘉義縣,和平鴿聯盟黨,916,0.33
嘉義縣,軍公教聯盟黨,1988,0.72
嘉義縣,民國黨,3366,1.22
嘉義縣,信心希望聯盟,2035,0.74
嘉義縣,中華統一促進黨,1736,0.63
嘉義縣,中國國民黨,60083,21.89
嘉義縣,台灣團結聯盟,13687,4.98
嘉義縣,時代力量,14212,5.17
嘉義縣,大愛憲改聯盟,498,0.18
嘉義縣,綠黨社會民主黨聯盟,4206,1.53
嘉義縣,台灣獨立黨,822,0.29
嘉義縣,無黨團結聯盟,3004,1.09
嘉義縣,新黨,5373,1.95
嘉義縣,健保免費連線,1181,0.43
嘉義縣,樹黨,1430,0.52
屏東縣,民主進步黨,230968,52.1
屏東縣,親民黨,20564,4.63
屏東縣,自由台灣黨,2209,0.49
屏東縣,和平鴿聯盟黨,1296,0.29
屏東縣,軍公教聯盟黨,4370,0.98
屏東縣,民國黨,4997,1.12
屏東縣,信心希望聯盟,6059,1.36
屏東縣,中華統一促進黨,1636,0.36
屏東縣,中國國民黨,109481,24.69
屏東縣,台灣團結聯盟,14358,3.23
屏東縣,時代力量,20635,4.65
屏東縣,大愛憲改聯盟,476,0.1
屏東縣,綠黨社會民主黨聯盟,8404,1.89
屏東縣,台灣獨立黨,1015,0.22
屏東縣,無黨團結聯盟,1578,0.35
屏東縣,新黨,12176,2.74
屏東縣,健保免費連線,1492,0.33
屏東縣,樹黨,1595,0.35
臺東縣,民主進步黨,28582,29.98
臺東縣,親民黨,7949,8.34
臺東縣,自由台灣黨,545,0.57
臺東縣,和平鴿聯盟黨,187,0.19
臺東縣,軍公教聯盟黨,1187,1.24
臺東縣,民國黨,1721,1.8
臺東縣,信心希望聯盟,2611,2.73
臺東縣,中華統一促進黨,367,0.38
臺東縣,中國國民黨,39545,41.49
臺東縣,台灣團結聯盟,1995,2.09
臺東縣,時代力量,3518,3.69
臺東縣,大愛憲改聯盟,120,0.12
臺東縣,綠黨社會民主黨聯盟,1956,2.05
臺東縣,台灣獨立黨,229,0.24
臺東縣,無黨團結聯盟,431,0.45
臺東縣,新黨,3684,3.86
臺東縣,健保免費連線,328,0.34
臺東縣,樹黨,354,0.37
花蓮縣,民主進步黨,42612,27.96
花蓮縣,親民黨,11949,7.84
花蓮縣,自由台灣黨,466,0.3
花蓮縣,和平鴿聯盟黨,610,0.4
花蓮縣,軍公教聯盟黨,1622,1.06
花蓮縣,民國黨,2075,1.36
花蓮縣,信心希望聯盟,4671,3.06
花蓮縣,中華統一促進黨,842,0.55
花蓮縣,中國國民黨,67516,44.31
花蓮縣,台灣團結聯盟,2180,1.43
花蓮縣,時代力量,6277,4.12
花蓮縣,大愛憲改聯盟,156,0.1
花蓮縣,綠黨社會民主黨聯盟,3338,2.19
花蓮縣,台灣獨立黨,352,0.23
花蓮縣,無黨團結聯盟,641,0.42
花蓮縣,新黨,5882,3.86
花蓮縣,健保免費連線,491,0.32
花蓮縣,樹黨,670,0.43
澎湖縣,民主進步黨,15948,38.07
澎湖縣,親民黨,2450,5.84
澎湖縣,自由台灣黨,141,0.33
澎湖縣,和平鴿聯盟黨,97,0.23
澎湖縣,軍公教聯盟黨,684,1.63
澎湖縣,民國黨,304,0.72
澎湖縣,信心希望聯盟,260,0.62
澎湖縣,中華統一促進黨,126,0.3
澎湖縣,中國國民黨,6616,15.79
